bank,date,var_99_gaussian,var_99_boa_factor
bny,2017-06-30,4.1,4.1
statestreet,2017-06-30,7.74,7.74
goldmansachs,2017-03-31,90.51642133929914,128.0
morganstanley,2017-03-31,62.230039670768164,88.0
jpmorgan,2017-03-31,35.35797708566373,50.0
citigroup,2017-03-31,100.0,100.0
bankofamerica,2017-03-31,44.0,44.0
wellsfargo,2017-03-31,26.0,26.0
bny,2017-03-31,4.1,4.1
statestreet,2017-03-31,6.595,6.595
goldmansachs,2016-12-31,86.2734640890195,122.0
morganstanley,2016-12-31,55.158444253635416,78.0
jpmorgan,2016-12-31,56.572763337061964,80.0
citigroup,2016-12-31,89.0,89.0
bankofamerica,2016-12-31,43.0,43.0
wellsfargo,2016-12-31,23.0,23.0
bny,2016-12-31,5.8,5.8
statestreet,2016-12-31,8.285,8.285
goldmansachs,2016-09-30,80.6161877553133,114.0
morganstanley,2016-09-30,59.40140150391506,84.0
jpmorgan,2016-09-30,60.81572058734161,86.0
citigroup,2016-09-30,85.0,85.0
bankofamerica,2016-09-30,47.0,47.0
wellsfargo,2016-09-30,22.0,22.0
bny,2016-09-30,6.6,6.6
statestreet,2016-09-30,7.497,7.497
goldmansachs,2016-06-30,87.68778317244605,124.0
morganstanley,2016-06-30,65.05867783762126,92.0
jpmorgan,2016-06-30,63.64435875419471,90.0
citigroup,2016-06-30,88.0,88.0
bankofamerica,2016-06-30,54.0,54.0
wellsfargo,2016-06-30,21.0,21.0
bny,2016-06-30,5.9,5.9
statestreet,2016-06-30,5.986,5.986
goldmansachs,2016-03-31,101.83097400671153,144.0
morganstanley,2016-03-31,65.05867783762126,92.0
jpmorgan,2016-03-31,76.37323050503365,108.0
citigroup,2016-03-31,108.0,108.0
bankofamerica,2016-03-31,50.0,50.0
wellsfargo,2016-03-31,18.0,18.0
bny,2016-03-31,5.4,5.4
statestreet,2016-03-31,4.693,4.693
goldmansachs,2015-12-31,100.41665492328498,142.0
morganstanley,2015-12-31,65.05867783762126,92.0
jpmorgan,2015-12-31,66.47299692104781,94.0
citigroup,2015-12-31,107.0,107.0
bankofamerica,2015-12-31,53.0,53.0
wellsfargo,2015-12-31,19.0,19.0
bny,2015-12-31,4.8,4.8
statestreet,2015-12-31,7.022,7.022
goldmansachs,2015-09-30,104.65961217356464,148.0
morganstanley,2015-09-30,74.9589114216071,106.0
jpmorgan,2015-09-30,76.37323050503365,108.0
citigroup,2015-09-30,116.0,116.0
bankofamerica,2015-09-30,60.0,60.0
wellsfargo,2015-09-30,21.0,21.0
bny,2015-09-30,5.0,5.0
statestreet,2015-09-30,6.056,6.056
goldmansachs,2015-06-30,108.90256942384428,154.0
morganstanley,2015-06-30,76.37323050503365,108.0
jpmorgan,2015-06-30,59.40140150391506,84.0
citigroup,2015-06-30,113.0,113.0
bankofamerica,2015-06-30,61.0,61.0
wellsfargo,2015-06-30,16.0,16.0
bny,2015-06-30,5.4,5.4
statestreet,2015-06-30,6.271,6.271
goldmansachs,2015-03-31,114.55984575755048,162.0
morganstanley,2015-03-31,66.47299692104781,94.0
jpmorgan,2015-03-31,60.81572058734161,86.0
citigroup,2015-03-31,131.0,131.0
bankofamerica,2015-03-31,71.0,71.0
wellsfargo,2015-03-31,18.0,18.0
bny,2015-03-31,5.5,5.5
