date,year,quarter,bank,total_assets,total_equity,total_liabilities,cet1_ratio,lcr_ratio,slr_ratio,roa,dividend_payout_ratio,repo,total_var
2009-03-31,2009,1,bny,203478.0,28210.0,175241.0,,,,0.54,76.31,1605.0,8.8
2009-03-31,2009,1,citigroup,1822578.0,143934.0,1676651.0,,,,-1.25,,184803.0,291.0
2009-03-31,2009,1,jpmorgan,2079188.0,170194.0,1908994.0,,,,0.19,15.93,279837.0,475.2112120313205
2009-03-31,2009,1,morganstanley,626023.0,48522.0,576816.0,,,,-1.98,,76729.0,192.34739534601067
2009-03-31,2009,1,statestreet,142144.0,13858.0,128286.0,,,,1.19,1.12,11790.0,5.13
2009-03-31,2009,1,wellsfargo,1285891.0,100295.0,1178834.0,,,,0.4,60.53,,103.0
2009-03-27,2009,1,goldmansachs,925290.0,63553.0,860663.0,,,,,0.0,133395.0,
2008-12-31,2008,4,bankofamerica,1817943.0,177052.0,1640891.0,,,,0.23,,206598.0,171.3
2008-12-31,2008,4,bny,237512.0,28050.0,209423.0,,,,0.67,1154.17,1372.0,14.7
2008-12-31,2008,4,citigroup,1938470.0,141630.0,1794448.0,,,,-1.55,,205293.0,295.0
2008-12-31,2008,4,jpmorgan,2175052.0,166884.0,2008168.0,,,,0.2,593.2,192546.0,231.94832968195405
2008-12-31,2008,4,statestreet,173631.0,12774.0,160857.0,,,,1.15,43.59,12236.0,5.13
2008-12-31,2008,4,wellsfargo,1309639.0,99084.0,1207323.0,,,,0.29,,62203.0,19.0
2008-12-26,2008,4,goldmansachs,1112225.0,63054.0,1048069.0,,,,,,260421.0,
2008-11-30,2008,4,morganstanley,659035.0,50831.0,607499.0,,,,0.15,,107618.0,
2008-11-28,2008,4,goldmansachs,884547.0,64369.0,819051.0,,,,0.23,,62883.0,
2008-09-30,2008,3,bankofamerica,1831177.0,161039.0,1670138.0,,,,0.36,424.82,225729.0,94.6
2008-09-30,2008,3,bny,267510.0,27513.0,239997.0,,,,0.92,91.42,6467.0,7.6
2008-09-30,2008,3,citigroup,2050131.0,126062.0,1920607.0,,,,-0.96,,250419.0,240.0
2008-09-30,2008,3,jpmorgan,2251469.0,145843.0,2105626.0,,,,0.39,459.75,224075.0,248.92015868307263
2008-09-30,2008,3,statestreet,285564.0,13064.0,272500.0,,,,0.84,21.8,19258.0,5.13
2008-09-30,2008,3,wellsfargo,622361.0,46957.0,575102.0,,,,1.2,68.91,,25.0
2008-08-31,2008,3,morganstanley,987403.0,35765.0,951638.0,,,,0.01,21.18,142036.0,
2008-08-29,2008,3,goldmansachs,1081773.0,45599.0,1032553.0,,,,0.72,19.14,110204.0,
2008-06-30,2008,2,bankofamerica,1716875.0,162691.0,1554184.0,,,,0.53,89.57,238123.0,87.5
2008-06-30,2008,2,bny,201225.0,28569.0,172656.0,,,,1.47,91.42,2488.0,10.9
2008-06-30,2008,2,citigroup,2100385.0,136405.0,1959465.0,,,,-0.71,,246107.0,292.0
2008-06-30,2008,2,jpmorgan,1775670.0,133176.0,1642494.0,,,,0.66,73.9,194724.0,210.7335434305558
2008-06-30,2008,2,statestreet,146221.0,14039.0,132182.0,,,,1.28,18.98,17075.0,5.13
2008-06-30,2008,2,wellsfargo,609074.0,47964.0,560809.0,,,,1.31,58.53,,15.0
2008-05-31,2008,2,morganstanley,1031228.0,34493.0,996735.0,,,,0.02,29.58,162526.0,
2008-05-30,2008,2,goldmansachs,1088145.0,44818.0,1039640.0,,,,0.95,7.61,115733.0,
2008-03-31,2008,1,bankofamerica,1736502.0,156309.0,1580193.0,,,,0.68,285.9,219738.0,90.1
2008-03-31,2008,1,bny,204935.0,28475.0,176460.0,,,,1.67,36.85,2963.0,10.8
2008-03-31,2008,1,citigroup,2199697.0,128068.0,2067387.0,,,,-0.33,,279561.0,341.0
2008-03-31,2008,1,jpmorgan,1642862.0,125627.0,1517235.0,,,,0.85,55.88,192633.0,172.546928178039
2008-03-31,2008,1,statestreet,154349.0,10806.0,143543.0,,,,1.12,16.94,14666.0,5.13
2008-03-31,2008,1,wellsfargo,595221.0,48159.0,546782.0,,,,1.49,51.23,,13.0
2008-02-29,2008,1,goldmansachs,1189006.0,42629.0,1138690.0,,,,0.94,10.7,161498.0,
2008-02-29,2008,1,morganstanley,1090896.0,33280.0,1057616.0,,,,0.14,19.45,209611.0,
2007-12-31,2007,4,bankofamerica,1715746.0,146803.0,1568943.0,,,,0.94,2662.62,221435.0,69.8
2007-12-31,2007,4,bny,197656.0,29403.0,168253.0,,,,1.48,54.58,2193.0,8.8
2007-12-31,2007,4,citigroup,2187480.0,113447.0,2074033.0,,,,0.16,,304243.0,191.0
2007-12-31,2007,4,jpmorgan,1562147.0,123221.0,1438926.0,,,,1.05,52.24,154398.0,149.9178228432142
2007-12-31,2007,4,statestreet,142543.0,11299.0,131244.0,,,,1.01,39.46,15071.0,5.13
2007-12-31,2007,4,wellsfargo,575442.0,47628.0,527814.0,,,,1.56,76.12,,18.0
2007-11-30,2007,4,goldmansachs,1119796.0,42800.0,1069731.0,,,,1.18,4.99,159178.0,
2007-11-30,2007,4,morganstanley,1045409.0,31269.0,1014140.0,,,,0.21,,245069.0,
2007-09-30,2007,3,bankofamerica,1578763.0,138510.0,1440253.0,,,,1.32,78.0,199293.0,46.7
2007-09-30,2007,3,bny,183972.0,28957.0,155015.0,,,,1.34,42.68,2929.0,11.4
2007-09-30,2007,3,citigroup,2358115.0,126962.0,2231153.0,,,,0.86,127.91,440369.0,141.0
2007-09-30,2007,3,jpmorgan,1479575.0,119978.0,1359597.0,,,,1.16,39.13,178767.0,151.33214192664076
2007-09-30,2007,3,statestreet,139888.0,11250.0,128638.0,,,,1.07,24.3,14328.0,5.13
2007-09-30,2007,3,wellsfargo,548727.0,47566.0,501161.0,,,,1.71,47.58,,35.0
2007-08-31,2007,3,goldmansachs,1045778.0,39118.0,997753.0,,,,1.25,5.6,160253.0,
2007-08-31,2007,3,morganstanley,1185131.0,35250.0,1149881.0,,,,0.73,19.69,346201.0,
2007-06-30,2007,2,bankofamerica,1534359.0,135751.0,1398608.0,,,,1.46,43.59,221064.0,42.7
2007-06-30,2007,2,bny,126333.0,11829.0,114504.0,,,,1.37,37.5,1543.0,9.5
2007-06-30,2007,2,citigroup,2220715.0,127603.0,2093112.0,,,,1.09,44.32,394143.0,138.0
2007-06-30,2007,2,jpmorgan,1458042.0,119211.0,1338831.0,,,,1.16,31.37,205961.0,155.5750991769204
2007-06-30,2007,2,statestreet,112268.0,7748.0,104520.0,,,,1.18,19.95,15830.0,5.13
2007-06-30,2007,2,wellsfargo,539865.0,47301.0,492564.0,,,,1.71,0.0,,10.0
2007-06-30,2007,2,wellsfargo,539865.0,47301.0,492564.0,,,,1.71,0.0,,10.0
2007-05-31,2007,2,morganstanley,1199993.0,39511.0,1160482.0,,,,0.74,12.1,364946.0,
2007-05-25,2007,2,goldmansachs,943196.0,38459.0,896020.0,,,,1.18,7.04,144440.0,
2007-03-31,2007,1,bankofamerica,1502157.0,134856.0,1367301.0,,,,1.49,48.03,234413.0,41.3
2007-03-31,2007,1,bny,99848.0,11527.0,88321.0,,,,1.53,38.44,773.0,9.1
2007-03-31,2007,1,citigroup,2020815.0,121932.0,1898883.0,,,,1.11,55.24,393670.0,102.0
2007-03-31,2007,1,jpmorgan,1408918.0,117704.0,1291214.0,,,,1.15,25.01,218917.0,117.38848392440356
2007-03-31,2007,1,statestreet,110003.0,7467.0,102536.0,,,,1.05,22.93,22375.0,5.13
2007-03-31,2007,1,wellsfargo,485901.0,46073.0,439828.0,,,,1.77,0.0,,12.0
2007-02-28,2007,1,morganstanley,1182061.0,37954.0,1144107.0,,,,0.69,12.48,371356.0,
2007-02-23,2007,1,goldmansachs,912495.0,36900.0,865069.0,,,,1.23,5.18,192665.0,
2006-12-31,2006,4,bankofamerica,1459737.0,135272.0,1324465.0,,,,1.54,42.34,217527.0,
2006-12-31,2006,4,bny,103206.0,11429.0,91777.0,,,,1.44,38.64,790.0,
2006-12-31,2006,4,citigroup,1884318.0,119783.0,1764535.0,,,,1.23,55.39,349235.0,
2006-12-31,2006,4,jpmorgan,1351520.0,115790.0,1235730.0,,,,1.07,30.95,162173.0,
2006-12-31,2006,4,statestreet,107353.0,7252.0,100101.0,,,,1.07,22.65,21294.0,
2006-12-31,2006,4,wellsfargo,481996.0,45814.0,436182.0,,,,1.75,44.79,11707.0,
2006-11-30,2006,4,morganstanley,1121192.0,35364.0,1085828.0,,,,0.63,14.43,332154.0,
2006-11-24,2006,4,goldmansachs,838201.0,35786.0,800346.0,,,,1.23,5.25,147745.0,
2006-09-30,2006,3,bankofamerica,1449211.0,133597.0,1315614.0,,,,1.44,51.85,258090.0,
2006-09-30,2006,3,bny,106636.0,10467.0,96169.0,,,,1.33,56.42,1040.0,
2006-09-30,2006,3,citigroup,1746248.0,117865.0,1628383.0,,,,1.32,46.19,320095.0,
2006-09-30,2006,3,jpmorgan,1338029.0,113561.0,1224468.0,,,,0.97,37.81,188395.0,
2006-09-30,2006,3,statestreet,112310.0,7015.0,105295.0,,,,0.96,23.74,29572.0,
2006-09-30,2006,3,wellsfargo,483441.0,44862.0,438579.0,,,,1.76,0.0,,
2006-08-31,2006,3,morganstanley,1028872.0,34172.0,994700.0,,,,0.58,18.0,305122.0,
2006-08-25,2006,3,goldmansachs,798309.0,33493.0,764816.0,,,,1.09,10.55,128132.0,
2006-06-30,2006,2,bankofamerica,1445193.0,127841.0,1317352.0,,,,1.33,41.71,259108.0,
2006-06-30,2006,2,bny,108881.0,10056.0,98825.0,,,,1.34,40.66,1177.0,
2006-06-30,2006,2,citigroup,1626551.0,115428.0,1511123.0,,,,1.32,46.8,264494.0,
2006-06-30,2006,2,jpmorgan,1328001.0,110684.0,1217317.0,,,,0.93,35.13,175055.0,
