date,year,quarter,bank,total_assets,total_equity,total_liabilities,cet1_ratio,lcr_ratio,slr_ratio,roa,roe,dividend_payout_ratio,repo,total_var
2012-12-31,2012,4,jpmorgan,2359141.0,195011.0,2155072.0,11.0,,,0.92,10.72,22.22,240103.0,138.6032701758018
2012-12-31,2012,4,morganstanley,780960.0,60601.0,715532.0,,,,0.1,0.01,16.26,140900.0,106.0739312569912
2012-12-31,2012,4,statestreet,222582.0,20380.0,201713.0,,,,0.94,10.28,23.52,8405.0,5.13
2012-12-31,2012,4,wellsfargo,1422968.0,144671.0,1264057.0,,,,1.42,13.16,23.84,,18.0
2012-09-30,2012,3,bankofamerica,2166162.0,219838.0,1927556.0,,,,0.25,1.85,,273900.0,54.8
2012-09-30,2012,3,bny,339944.0,35182.0,302805.0,,,,0.71,6.63,21.86,12450.0,12.6
2012-09-30,2012,3,citigroup,1931346.0,186465.0,1742608.0,,,,0.39,3.93,6.74,224370.0,129.0
2012-09-30,2012,3,goldmansachs,949207.0,68337.0,874181.0,,,,0.59,8.04,15.91,166186.0,114.55984575755048
2012-09-30,2012,3,jpmorgan,2321284.0,190635.0,2121591.0,,,,0.84,9.85,22.09,257218.0,172.546928178039
2012-09-30,2012,3,morganstanley,764985.0,60291.0,699815.0,13.9,,,-0.03,-1.41,,132661.0,101.83097400671151
2012-09-30,2012,3,statestreet,204522.0,20261.0,183773.0,,,,0.95,9.75,17.2,8102.0,5.13
2012-09-30,2012,3,wellsfargo,1374715.0,142396.0,1218656.0,,,,1.36,12.68,24.68,,19.0
2012-06-30,2012,2,bankofamerica,2160854.0,217213.0,1924879.0,,,,0.51,4.68,5.63,285914.0,62.5
2012-06-30,2012,2,bny,330283.0,34033.0,294898.0,,,,0.71,6.53,34.06,9162.0,10.0
2012-06-30,2012,2,citigroup,1916451.0,183599.0,1730612.0,,,,0.56,5.78,1.08,214851.0,149.0
2012-06-30,2012,2,goldmansachs,948638.0,68005.0,874560.0,,,,0.39,5.17,25.67,160442.0,120.21712209125668
2012-06-30,2012,2,jpmorgan,2290146.0,183772.0,2098574.0,,,,0.79,9.24,25.29,261657.0,106.0739312569912
2012-06-30,2012,2,morganstanley,748517.0,61333.0,676880.0,13.6,,,0.38,3.89,18.76,125756.0,107.48825034041774
2012-06-30,2012,2,statestreet,200777.0,19397.0,180880.0,,,,0.95,9.35,23.94,9564.0,5.13
2012-06-30,2012,2,wellsfargo,1336204.0,136376.0,1186767.0,,,,1.34,12.37,26.6,,31.0
